,Name,Score,Description
0,마카오 피셔맨스워프,4.0,"호텔, 카지노, 놀이기구, 상점, 레스토랑이 들어서 있는 항구 앞 엔터테인먼트 단지입니다."
1,타이파 빌리지,4.2,-
2,연애항,3.7,-
3,마카오 박물관,4.3,-
4,세나도 광장,4.2,대중 행사가 자주 열리는 이 대형 광장은 상점과 레스토랑으로 둘러싸여 있습니다.
5,마카오 타워,4.3,"상점, 영화관, 식당가 등이 있는 타워로 회전식 레스토랑과 전망대를 갖추고 있습니다."
6,로우카우 맨션,4.0,-
7,마카오 자이언트 판다 파빌리온,4.4,-
8,베니션 마카오,4.5,-
9,세인트 폴 성당 유적,4.3,화재로 소실된 유명한 17세기 교회의 정면 모습이며 종교 박물관이 있습니다.
10,마카오 과학관,4.3,-
11,몬테 요새,4.3,1626년에 완공된 대형 요새로 대포가 전시되어 있으며 광대한 하늘 전망이 멋진 옥상 공원이 있습니다.
12,마카오반환기념박물관,3.8,-
13,타이파 주택박물관,4.1,-
14,타이파&콜로안 역사박물관,3.9,-
15,성 도미니크 성당,4.3,-
16,아마 사원,4.2,마카오에서 가장 오래된 이 사원은 1488년에 지어졌으며 바다의 여신을 기립니다.
17,마카오 미술관,4.3,-
18,성 아우구스티노 광장,4.3,-
19,그랑프리 박물관,3.6,-
20,까모에스 공원,4.1,-
21,카르발류 총독 대교,4.4,-
22,성 아우구스틴 광장,3.5,-
23,전당포 박물관,4.1,-
24,Guia Lighthouse,4.4,-
25,"Cathedral of the Nativity of Our Lady, Macau",4.4,-
26,펜하성당,4.5,-
27,성 로렌스 성당,4.3,-
28,성안토니오 성당,4.2,-
29,Golden Reel,4.3,-
30,카르멜 성모 성당,4.2,-
31,성 요셉 신학교 및 성당,4.2,-
32,拱北口岸,3.5,-
33,Kampek Paradise Casino,3.4,-
34,로터스 브리지,4.5,-
35,Dreams Water City,3.9,-
36,Company Of Jesus Square,-,-
37,베네시안,4.2,-
38,Lotus Square,3.7,-
39,홍콩 디즈니랜드 리조트,4.4,"놀이기구, 쇼, 코스튬 캐릭터가 있는 유명한 테마파크 단지이며 7개의 구역으로 이루어져 있습니다."
40,성바울성당,4.0,-
41,윈 팰리스,4.6,-
42,시티 오브 드림즈,4.4,-
43,스튜디오 시티 마카오,4.4,-
44,A|X Macau Cotai Central Sands,4.3,-
45,더 하우스 오브 댄싱워터,4.7,-
46,갤럭시호텔,4.5,-
47,힐사이드 에스컬레이터,4.1,-
48,Hong Kong Museum of Medical Sciences,4.1,-
49,Estrada Da Baia De Nossa Senhora Da Esperanca / Galaxy,4.0,-
50,호텔 리스보아,4.2,-
51,윈 마카오,4.4,-
52,마카오 국제공항,3.4,-
53,"쉐라톤 그랜드 마카오 호텔, 코타이 센트럴",4.3,-
54,숭산 란처,4.1,-
55,Chimelong International Circus Ticket Office,4.4,-
56,Wynn - DRAGON OF FORTUNE,4.5,-
57,소피텔 마카오 엣 폰테 16,4.2,-
58,리츠칼튼 마카오,4.7,-
59,"The Ritz-Carlton Spa, Macau",-,-
