,Name,Score,Description
0,마담 투소 홍콩,4.4,테마별 갤러리에 미국의 유명인과 역사적 인물의 실물 크기 밀랍 인형이 전시되어 있는 박물관 체인입니다.
1,빅토리아 하버,4.5,"해안의 경치, 야간 조명, 불꽃 놀이로 유명한 활기 넘치는 항구 지역입니다."
2,피크타워,4.3,"트램 터미널, 전망대 테라스, 전시관이 있는 현대적인 레저 쇼핑 단지입니다."
3,덩라우벽화,3.7,-
4,힐사이드 에스컬레이터,4.1,-
5,NOHO,4.3,-
6,그레이엄 스트리,-,-
7,리펄스베이,4.3,-
8,소호 벽화거리,4.1,-
9,루가드 로드 전망대,4.7,-
10,지혜의 길,4.3,-
11,초이홍 아파트,4.1,-
12,레이디스마켓,3.8,-
13,홍콩 디즈니랜드 리조트,4.4,"놀이기구, 쇼, 코스튬 캐릭터가 있는 유명한 테마파크 단지이며 7개의 구역으로 이루어져 있습니다."
14,SKY100 홍콩 전망대,4.4,"100층 높이의 실내 전망대로, 최첨단 망원경, 체험형 전시회, 카페가 있습니다."
15,포 린 사원,4.5,"화려한 언덕의 수도원이자 대표적인 명소로, 34m 높이의 청동 티안 탄 부처상이 있습니다."
16,홍콩해양공원,4.3,"롤러코스터, 워터라이드를 즐길 수 있는 테마파크로 케이블카와 동물 우리가 있는 해양 공원이 있습니다."
17,Hong Kong Observation Wheel & AIA Vitality Park,4.2,-
18,피크 트램,4.2,빅토리아 시대의 열차로 홍콩 섬의 가장 높은 봉우리에 올라 도시의 전망을 감상할 수 있습니다.
19,옹핑360,4.5,"약 25분 소요되는 케이블카를 이용하여 관광 명소, 액티비티, 상점, 레스토랑이 있는 마을까지 이동할 수 있습니다."
20,티안 탄 부처상,4.6,"260개의 계단이 거대한 청동 부처상까지 이어지며, 내부에 조각된 종, 박물관, 유물 등이 있습니다."
21,Tai Kwun - Centre for Heritage and Arts,4.3,-
22,홍콩문화박물관,4.3,-
23,홍콩 스페이스 뮤지엄,4.1,-
24,황후상 광장,4.1,-
25,홍콩문화센터,4.3,-
26,Golden Bauhinia Square,3.8,-
27,Lantau Trail,4.5,-
28,미드레벨에스컬레이터,4.0,"언덕을 오르는 교통 체계로, 20개의 에스컬레이터와 3개의 무빙워크로 구성되어 있습니다(오전 10시부터 운행)."
29,드래곤스 백,4.6,-
30,Victoria Peak's Lions Pavilion,4.6,-
31,Lantau Country Park,4.6,-
32,템플스트리트 야시장,3.8,-
33,라이치콕 공원,4.2,-
34,스탠리 마켓,4.0,"번화하고 오래된 길거리 시장으로, 의류, 공예품, 기념품을 판매하는 노점상이 모여 있습니다."
35,Jardine Noonday Gun,4.0,-
36,Lan Kwai Fong,4.2,"좁은 거리와 골목으로 이루어진 역사 지구에 레스토랑, 나이트클럽, 바가 늘어서 있습니다."
37,The Peak Neighbourhood,4.5,-
38,Cheung Kong Park,4.4,-
39,Edward Youde Aviary,4.4,-
40,홍콩경마박물관,4.2,-
41,Aviation Discovery Centre,3.9,-
42,TramOramic Tour - Western Market Terminus,4.3,-
43,머레이 하우스,4.1,-
44,트릭 아트 뮤지엄 홍콩,4.0,-
45,Tung Chung Battery,3.7,-
46,성 요한 대성당,4.5,-
47,오션터미널 데크,4.5,-
48,중국은행 타워,4.1,-
49,Quarry Bay Park,4.1,-
50,홍콩 대학,4.4,-
51,Lung Fu Shan Environmental Education Centre,4.3,-
52,Lo Pan Temple,4.0,-
53,Hong Kong Museum of Medical Sciences,4.1,-
54,Sandbox VR,4.7,-
55,华侨城,4.2,-
56,Hong Kong Park,4.5,-
57,Lion Rock Country Park,4.3,-
58,세나도 광장,4.2,대중 행사가 자주 열리는 이 대형 광장은 상점과 레스토랑으로 둘러싸여 있습니다.
59,Hong Kong Foodie Tasting Tours,4.1,-
